"positionName","salary","jobType/0","jobType/1","jobType/2","company","location","rating","reviewsCount","url","companyInfo"
"Senior Data Analyst IN",,"Full-time",,,"DAZN","Hyderabad, Telangana","3.3","46","https://in.indeed.com/viewjob?jk=75696f862f3b3200",
"IN_Senior Associate_Business Analyst_FS Tech_Advisory_Mumbai",,"Full-time",,,"PwC","Shivaji Park, Mumbai, Maharashtra","3.9","10380","https://in.indeed.com/viewjob?jk=d3fadce7f04b9f66",
"ISC Data Analyst",,"Full-time",,,"Rockwell Automation","Bengaluru, Karnataka","3.9","1460","https://in.indeed.com/viewjob?jk=05120ec268ad264e",
"Business Analyst I",,"Full-time",,,"ICON Plc","Chennai, Tamil Nadu","3.4","1358","https://in.indeed.com/viewjob?jk=0a4e51a911c3a1af",
"Senior Data Analyst",,"Full-time",,,"Ameriprise India","Gurugram, Haryana","3.7","1638","https://in.indeed.com/viewjob?jk=15f167943cdbfaf1",
"Asset & Wealth Management - Data Analytics & Reporting- Analyst - Bengaluru",,,,,"Goldman Sachs","Bengaluru, Karnataka","3.9","2311","https://in.indeed.com/viewjob?jk=d02d80dfccf030ab",
"Analyst II, Data Science (R-19484)",,"Full-time",,,"Dun & Bradstreet","Chennai, Tamil Nadu","3.7","858","https://in.indeed.com/viewjob?jk=a02a4db00c57352b",
"Associate Analyst, Data Science",,"Full-time",,,"Novartis","Hyderabad, Telangana","4.1","4421","https://in.indeed.com/viewjob?jk=b5b535f3d8f03342",
"BUSINESS ANALYST L4(CONTRACT)",,,,,"Wipro Limited","Bengaluru, Karnataka","3.8","17015","https://in.indeed.com/viewjob?jk=7a04c452c827e23b",
"MIS Executive International.","₹18,000 - ₹25,000 a month","Full-time",,,"Radiant Job","Thane District, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=19c45ad0bc1c8ac0",
"Data Analyst","₹3,50,000 - ₹5,00,000 a year","Full-time",,,"X9 Cyber Security & IT Services","New Delhi District, Delhi","0","0","https://in.indeed.com/viewjob?jk=8fd41f6b41c1f7dc",
"Associate Analyst - Master Data Management-2",,"Full-time",,,"Novartis","Hyderabad, Telangana","4.1","4421","https://in.indeed.com/viewjob?jk=0afe1c1a332ae556",
"MIS Executive/ Data analyst","₹25,000.00 - ₹31,529.96 a month","Full-time",,,"Dustech Engineers Pvt LTD","Faridabad, Haryana","0","0","https://in.indeed.com/viewjob?jk=3099d6cfd7acd0b5",
"Business Analyst",,"Contractual / Temporary",,,"Enfycon INC","Mumbai District, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=ac3fc4178a237f02",
"MIS Executive","₹11,000 - ₹12,500 a month","Full-time",,,"Children of India Foundation","Kovilpalayam, Coimbatore, Tamil Nadu","0","0","https://in.indeed.com/viewjob?jk=345dbda556903bde",
"Senior Business Analyst – HIS / EMR Implementation",,"Contractual / Temporary",,,"Enfycon India Private Limited","Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=e636ba8c730dbf8b",
"Business Analyst","₹5,00,000 - ₹8,00,000 a year","Full-time",,,"Stackera.io","Pune, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=39c55d5287f5190c",
"Business Analyst – HIS / EMR Implementation",,"Contractual / Temporary",,,"Enfycon India Private Limited","Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=eb054ccdf873d91a",
"Data Analyst",,"Full-time",,,"BIGSHIP","Dehradun, Uttarakhand","1","1","https://in.indeed.com/viewjob?jk=6d558b582f75d4b0",
"Business Analyst","₹15,000 - ₹25,000 a month","Full-time",,,"Veryberry ventures pvt ltd","Zirakpur, Punjab","0","0","https://in.indeed.com/viewjob?jk=9dbf2c45184462d2",
"Intellectual Property Analyst - Technology and Insights",,"Full-time",,,"Bosch Group","Bengaluru, Karnataka","4","7503","https://in.indeed.com/viewjob?jk=9cc299ac78f5eb08",
"Data Analyst","₹3,00,000 - ₹6,00,000 a year","Full-time",,,"Accusolution","Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=7ab0870ec072d54b",
"Data Analyst",,"Permanent","Full-time",,"CGI","Mumbai, Maharashtra","3.5","4112","https://in.indeed.com/viewjob?jk=7df982a44a085adb",
"MIS Executive – Google Apps Script","₹25,000 - ₹35,000 a month","Permanent","Full-time",,"le fabco pvt ltd","Delhi, Delhi","0","0","https://in.indeed.com/viewjob?jk=55d6efc567116c44",
"Business Data Analyst","₹3,00,000 - ₹4,20,000 a year","Full-time",,,"Trip Machine Company","Gurugram, Haryana","3","1","https://in.indeed.com/viewjob?jk=33620c3184bd8b70",
"Business Analyst",,"Permanent","Full-time",,"CGI","Mumbai, Maharashtra","3.5","4112","https://in.indeed.com/viewjob?jk=f46f7ad2eeb00680",
"Solution Delivery Analyst - McKinsey Transformations",,,,,"McKinsey & Company","Gurugram, Haryana","4.2","946","https://in.indeed.com/viewjob?jk=a0401bf51cdf5070",
"Data Analyst Educator","₹25,000 - ₹45,000 a month","Part-time","Contractual / Temporary",,"Magnet Brains Software Technology Pvt. Ltd","Gandhi Nagar, Bhopal, Madhya Pradesh","4.7","6","https://in.indeed.com/viewjob?jk=e0d00fdef88b023e",
"Senior Data Analyst and Power BI Expert",,"Full-time",,,"Nextpower","Hyderabad, Telangana","5","1","https://in.indeed.com/viewjob?jk=6a16b8f9164c4356",
"Business Analyst",,,,,"QualityKiosk Technologies","Navi Mumbai, Maharashtra","3.3","114","https://in.indeed.com/viewjob?jk=2b98116618e1a861",
"Product Analyst, Tech Platform & Data",,,,,"Ocrolus","Remote","0","0","https://in.indeed.com/viewjob?jk=526fe41568cec1e6",
"Senior Business Systems Analyst",,,,,"Envestnet Asset Management, Inc","Thiruvananthapuram, Kerala","4.1","27","https://in.indeed.com/viewjob?jk=119e8e0f86cd443b",
"Lead Data Analyst",,"Full-time",,,"GCC India","Hyderabad, Telangana","0","0","https://in.indeed.com/viewjob?jk=dbca91e2cf507fb5",
"Analyst - Data Analytics",,"Full-time",,,"American Express","Gurugram, Haryana","4.1","9669","https://in.indeed.com/viewjob?jk=0e4a30fe06842ed6",
"Senior Associate | Engineering, AI & Data - Engineering | Data Analyst",,,,,"Deloitte","Bengaluru, Karnataka","3.9","14270","https://in.indeed.com/viewjob?jk=bc4abddd828694e9",
"Business Analyst","₹90,000 - ₹1,20,000 a month","Contractual / Temporary",,,"Cito Techno","Bengaluru, Karnataka","0","0","https://in.indeed.com/viewjob?jk=143693d7b7bcc005",
"MIS BUDGETING EXECUTIVE","₹25,000 - ₹40,000 a month","Permanent","Full-time",,"CD INFOTECH PVT. LTD","Prabhadevi, Mumbai, Maharashtra","4.5","4","https://in.indeed.com/viewjob?jk=377b45a800d397e4",
"Junior Data Analyst","₹20,000.00 - ₹30,013.08 a month","Permanent","Fresher","Full-time","Heat and control south asia pvt ltd","Chennai, Tamil Nadu","5","1","https://in.indeed.com/viewjob?jk=902afb90b05a7dce",
"Business Analyst – ADM Ref No: IBMFG2JP00015728","₹8,00,000 - ₹10,00,000 a year","Full-time",,,"Clock Edge Technologies Pvt Lt","Bengaluru, Karnataka","0","0","https://in.indeed.com/viewjob?jk=5805083d477e01df",
"Business Analyst – ADM Ref No: IBMFG2JP00015864","₹8,00,000 - ₹10,00,000 a year","Full-time",,,"Clock Edge Technologies Pvt Lt","Bangalore City, Bengaluru, Karnataka","0","0","https://in.indeed.com/viewjob?jk=db9c6913cd436877",
"Data Analyst (Insurance Domain)","₹25,00,000 - ₹30,00,000 a year","Permanent","Full-time",,"Dinero Solutions","Gurugram, Haryana","0","0","https://in.indeed.com/viewjob?jk=7305643688890ce9",
"Data Analyst","₹3,05,285.03 - ₹4,80,000.00 a year","Full-time",,,"TrucksUp Solutions Private Limited","Gurugram, Haryana","0","0","https://in.indeed.com/viewjob?jk=df1ce0cb857cc4ff",
"Data Analyst",,"Full-time",,,"ixigo","Bengaluru, Karnataka","4.8","4","https://in.indeed.com/viewjob?jk=cbb4ed6ac55ba4be",
"Data Analyst","₹30,000 - ₹45,000 a month","Permanent","Full-time",,"Npowa Solutions Private Limited","Mangalore, Karnataka","0","0","https://in.indeed.com/viewjob?jk=47806b63e2bb493e",
"MIS Specialist","₹25,000 - ₹40,000 a month","Full-time",,,"CIMERO Activewear LLP","Delhi, Delhi","0","0","https://in.indeed.com/viewjob?jk=b749714ec87a9859",
"Implementation Analyst â€“ Customer Intelligence",,"Full-time",,,"Zithara.AI","Hyderabad, Telangana","0","0","https://in.indeed.com/viewjob?jk=845a50e1b9a7ce69",
"MIS Executive","₹10,000 - ₹13,000 a month","Permanent","Full-time",,"Gathbandhan Matrimony Pvt Ltd","Salt Lake City, West Bengal","0","0","https://in.indeed.com/viewjob?jk=ee6d2157d6376cd8",
"Business Technical Analyst",,"Permanent","Full-time",,"Rytsense Technologies","Chennai, Tamil Nadu","0","0","https://in.indeed.com/viewjob?jk=f7852a93a4b5f9cb",
"MIS","₹10,000 - ₹25,000 a month","Full-time",,,"BG Insurance Brokers Pvt Ltd","Amritsar, Punjab","0","0","https://in.indeed.com/viewjob?jk=2013e332ce615184",
"MIS Executive","₹15,000.00 - ₹27,082.05 a month","Full-time",,,"AMS COMTEL BPMS PVT.LTD","Salt Lake, Kolkata, West Bengal","0","0","https://in.indeed.com/viewjob?jk=c83cc30f0be08b2e",
"Senior Data Analyst",,"Full-time",,,"Route Mobile","Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=3fa84a17f6327590",
"Employee Experience Data & UX Insights Analyst",,"Permanent","Full-time",,"Siemens","Pune, Maharashtra","4","11415","https://in.indeed.com/viewjob?jk=9b53d024dbaa0420",
"Senior Data Analyst",,,,,"JLL","Bengaluru, Karnataka","3.6","3850","https://in.indeed.com/viewjob?jk=60bf5905f4d1fdf3",
"Asia Pacific Regulatory Reporting- Business Analyst",,"Full-time",,,"JPMorganChase","Mumbai, Maharashtra","3.9","20380","https://in.indeed.com/viewjob?jk=088ef335569688a3",
"Analytics and Modeling Analyst",,"Full-time",,,"Accenture","Gurugram, Haryana","3.9","28654","https://in.indeed.com/viewjob?jk=13a5d695ac2d3842",
"Analyst Data Governance & Management",,"Full-time",,,"American Express","Bengaluru, Karnataka","4.1","9669","https://in.indeed.com/viewjob?jk=a3737f0406c313c4",
"Data Visualization Sr. Analyst",,"Full-time",,,"Accenture","Kochi, Kerala","3.9","28654","https://in.indeed.com/viewjob?jk=57b3d7987822cbca",
"Workforce Analyst - Data Analytics",,"Full-time",,,"JPMorganChase","Mumbai, Maharashtra","3.9","20380","https://in.indeed.com/viewjob?jk=1db9114fcb8ff069",
"Business System Analyst - IT",,"Full-time",,,"Flex LTD","Pune, Maharashtra","3.9","5938","https://in.indeed.com/viewjob?jk=5d42225c0ca34536",
"Senior Data Product Management Consultant - – Workday Security Senior Analyst",,"Full-time",,,"Wells Fargo","Serilingampalle, Telangana","3.6","47716","https://in.indeed.com/viewjob?jk=022d94e6771172c8",
"RM&C - Reporting, Automation & Analytics — Analyst",,"Full-time",,,"JPMorganChase","Mumbai, Maharashtra","3.9","20380","https://in.indeed.com/viewjob?jk=4d804d4563052e05",
